content,cond,time,headline,abstract,id,n,between_fixation_raw,button_raw,clue_onset_raw,rate_onset_raw,read_onset_raw,rt_raw,run_raw,within_fixation_raw,order
Cancer,Wall,8,Eggs Regain Reputation,A new analysis adds to the evidence that eggs are not the dietary sin doctors once thought they were.,64,1.0,208.1305694580078,3.0,194.60659790039062,205.11709594726562,196.1649169921875,206.8983917236328,1.0,204.1795196533203,10.0
Well-being,Friend,10,How Testosterone May Alter the Brain After Exercise,New science on sex hormones and the brain sheds light on how jogging and other workouts may improve the ability to remember and think.,20,1.0,225.99273681640625,4.0,210.84390258789062,222.98992919921875,212.43775939941406,223.78321838378906,1.0,222.4484405517578,11.0
Fitness,Friend,12,Fitness Center in a Hotel Room,A businesswoman's need for a workout routine leads a personal trainer to incorporate a bathtub's edge and a travel iron into a 30-minute exercise regimen.,59,1.0,244.2510986328125,4.0,227.1046905517578,241.23941040039062,228.6871795654297,242.4521484375,1.0,240.70175170898438,12.0
Cancer,Read,10,Updating the Message to Get Americans Moving,"If Americans know exercise is so good for them, why don't they take the message to heart? Maybe, some researchers say, the problem is the message.",40,1.0,262.10333251953125,2.0,245.37991333007812,259.0941162109375,246.9590301513672,260.58673095703125,1.0,256.96905517578125,13.0
Nutrition,Content,10,Children Like Spicy Red Cheetos; Schools Don't,Some schools are trying to ban a chip that is high in salt and fat and leaves a trail of bright red fingerprints.,32,1.0,279.17315673828125,5.0,264.0345458984375,276.1690368652344,265.6138610839844,278.07232666015625,1.0,275.62188720703125,14.0
Well-being,Wall,10,E-Health Opportunities for Seniors,Connecting more older Americans to the Internet is expected to improve opportunities to protect their well-being and reduce national costs for care.,29,1.0,295.6407165527344,2.0,280.3979187011719,292.63458251953125,281.9769287109375,294.45745849609375,1.0,291.99053955078125,15.0
Weight,Content,12,Transplant Centers Struggle With Donors' Obesity,Add one more unexpected consequence of Americans' expanding waistlines: A growing number of potential organ donors are ineligible to donate because of their weight.,10,1.0,316.2935485839844,4.0,297.0699157714844,313.285888671875,298.65673828125,313.71075439453125,1.0,310.659912109375,16.0
Well-being,Wall,8,Exaggerating Your Race Results,"Why do athletes shave a few minutes off their times, or add a few pounds to the amount they can bench press?",21,1.0,331.3448791503906,2.0,317.9210510253906,328.3371887207031,319.4938049316406,329.51263427734375,1.0,327.4942932128906,17.0
Nutrition,Friend,8,How Much Milk Should Children Drink?,"Researchers have established that for most children, drinking two cups a day achieves the right balance for vitamin D and iron.",48,1.0,348.697998046875,4.0,335.5558776855469,345.6841125488281,337.1319885253906,347.115234375,1.0,345.1470947265625,18.0
Fitness,Read,8,How to Carbo-Load for a Marathon,"There is one element that can still be tweaked in the days before a marathon, two new studies show: what to eat.",37,1.0,368.5343933105469,5.0,351.225830078125,365.5258483886719,352.7921447753906,366.2001647949219,1.0,360.7982177734375,19.0
Science,Read,12,"For Athletes, Risks From Ibuprofen Use",Many athletes take pre-emptive ibuprofen in hopes of preventing pain and soreness from exercise. New research shows the practice likely does more harm than good.,42,1.0,388.320556640625,2.0,369.66302490234375,385.3104553222656,371.2547912597656,386.4354248046875,1.0,383.2676696777344,20.0
Nutrition,Wall,10,"Dismissing Her Critics, Mrs. Obama Forges Ahead",Michelle Obama said she kept her perspective on a life in the spotlight as she promoted a physical education initiative for children.,80,1.0,407.4632263183594,4.0,389.3451232910156,404.4608459472656,390.93548583984375,405.255615234375,1.0,400.9365539550781,21.0
Nutrition,Friend,12,Recipe for Resentment: Claims of Running Prowess,Why does running arouse such passion? You don't hear gleeful chortling about the health hazards to master swimmers or cross-country skiers or cyclists who do 100-mile "century" rides.,44,1.0,431.7195739746094,2.0,410.77581787109375,428.7184753417969,412.3673095703125,429.4419860839844,1.0,424.3742980957031,22.0
Disease,Content,12,Simple Only on the Surface,"Despite centuries' worth of efforts to penetrate the complicated thickets where health and beauty intertwine, there is always more to explore, as two new books make clear.",79,1.0,451.9098205566406,4.0,434.6368713378906,448.8937683105469,436.2294921875,450.4608154296875,1.0,448.2425537109375,23.0
Age,Content,10,Training Insights From Star Athletes,"Along with natural athletic prowess, elite sports stars often have an edge, gained from an insight or realization, that helps them separate themselves from the pack.",56,1.0,468.9915466308594,2.0,453.13714599609375,465.9904479980469,454.730224609375,466.3137512207031,1.0,464.7445068359375,24.0
Cancer ,Wall,12,Medical Costs May Remain High After Weight-Loss Surgery,A new study suggests that older men who undergo bariatric surgery to lose weight may not see any reductions in medical costs in the years that follow.,3,1.0,489.5477600097656,2.0,471.1054992675781,486.5387878417969,472.6836242675781,488.2833557128906,1.0,484.69696044921875,25.0
Nutrition,Read,12,Do the Brain Benefits of Exercise Last?,"Exercise bolsters the structure and function of the brain. But if someone stops exercising, does the brain revert to its former state, much like unused muscles slacken?",54,1.0,509.3185729980469,5.0,491.9759216308594,506.31024169921875,493.56170654296875,507.4021911621094,1.0,505.5710144042969,26.0
Laws,Friend,10,"In Fight Against Obesity, Drink Sizes Matter",History has shown that teaching people what is good for them is not enough. It must be accompanied by restrictions that curb unhealthy habits.,35,1.0,526.6025390625,4.0,510.345703125,523.5966186523438,511.93798828125,525.1199951171875,1.0,521.9517822265625,27.0
Well-being,Wall,10,Obese Children Less Sensitive to Taste,"A connection is not clear, but German researchers suggested that the hormone leptin might affect both body weight and taste buds.",27,1.0,543.2546997070312,4.0,527.718505859375,540.241943359375,529.2937622070312,541.4388427734375,1.0,539.3038330078125,28.0
Science,Content,8,How Exercise Can Help You Master New Skills,"Physical exercise may help the brain to consolidate and store muscle memories, a new study found.",26,1.0,558.4076538085938,5.0,545.0838623046875,555.4005126953125,546.65185546875,556.5238037109375,1.0,554.6564331054688,29.0
Science,Friend,10,Treating Constipation in the Old,Scientists found that some laxatives had significant effects but that there was little or no evidence that enemas or increased fluid intake had any benefit.,71,1.0,577.6755981445312,1.0,561.9354248046875,574.6661987304688,563.5175170898438,576.1090698242188,1.0,573.5250854492188,30.0
Age,Read,10,Diabetes Study Ends Early With a Surprising Result,Diet and weight loss did not prevent heart attacks and strokes in overweight and obese people with Type 2 diabetes.,33,1.0,597.2470092773438,5.0,580.2027587890625,594.240234375,581.79345703125,594.6463623046875,1.0,591.8104858398438,31.0
Laws,Friend,8,Get Up. Get Out. Don't Sit.,Two new studies make a convincing case that sitting too much will shorten your life.,31,1.0,612.0975952148438,5.0,598.2739868164062,609.089111328125,599.8370971679688,609.3809814453125,1.0,607.84619140625,32.0
Disease,Wall,10,Why Four Workouts a Week May Be Better Than Six,"A fairly leisurely approach to scheduling workouts may actually be more beneficial than working out almost daily, a new study suggests.",73,1.0,629.5498657226562,5.0,613.8237915039062,626.5486450195312,615.4024658203125,626.9506225585938,1.0,625.415771484375,33.0
Well-being,Read,10,Iron Supplements Fight Fatigue in Women,"In a randomized controlled double-blinded study, iron supplementation reduced fatigue by almost 50 percent in women who are low in iron but not anemic.",1,1.0,649.018310546875,5.0,632.97705078125,646.0116577148438,634.5713500976562,646.8690795898438,1.0,644.5839233398438,34.0
Well-being,Content,10,The Appetite Workout,"Can exercise help regulate how much we eat? New science suggests that if you stick with the right kind of exercise, you may change how your body interacts with food.",58,1.0,666.1036987304688,5.0,650.1497802734375,663.09033203125,651.7279052734375,664.2052612304688,1.0,661.7362060546875,35.0
Age,Wall,12,"For Omega-3s, Fish May Beat Pills","Taking supplements of omega-3 fatty acids does not have the same effect of reducing the risk of stroke as eating fish high in omega-3s, a study shows.",38,1.0,688.6575317382812,2.0,669.73046875,685.6448974609375,671.3174438476562,687.1902465820312,1.0,683.3223876953125,36.0
Laws,Read,12,"In 'Obesity Paradox', Thinner May Mean Sicker",A slow but steady accumulation of evidence is inspiring some experts to re-examine assumptions about the role of body fat in certain chronic diseases.,23,1.0,709.3260498046875,2.0,690.9839477539062,706.3238525390625,692.5751342773438,708.5670166015625,1.0,704.5914306640625,37.0
Cancer,Friend,10,Vitamin D Doesn't Reduce Knee Pain,"A two-year study found that vitamin D, which evidence suggested might slow osteoarthritis, neither reduced knee pain nor restored cartilage.",57,1.0,727.4783935546875,4.0,710.353759765625,724.4729614257812,711.9411010742188,725.7785034179688,1.0,721.944580078125,38.0
Cancer,Content,8,How to Make Summer Your Training Partner,Athletes' performance actually may improve as a result of their struggles with soaring temperatures.,15,1.0,745.4473266601562,3.0,730.0161743164062,742.4452514648438,731.5906372070312,744.014404296875,1.0,739.5969848632812,39.0
content,cond,time,headline,abstract,id,n,between_fixation_raw,button_raw,clue_onset_raw,rate_onset_raw,read_onset_raw,rt_raw,run_raw,within_fixation_raw,order
Nutrition,Wall,10,Berries Lower Heart Attack Risk in Women,"Blueberries and strawberries have large concentrations of the flavonoid anthocyanin, which may help lower blood pressure and improve blood vessel function.",61,1.0,27.604387283325195,3.0,12.015335083007812,24.590740203857422,13.647940635681152,26.271595001220703,1.0,23.65387725830078,0.0
Nutrition,Read,10,Vitamin Labels May Be Wrong,"The amounts of vitamin D present in supplements sold over the counter often bear little resemblance to the descriptions on the bottle labels, a new study concludes.",76,1.0,48.857120513916016,4.0,32.13090133666992,45.846736907958984,33.71333312988281,46.39097213745117,1.0,43.7227783203125,1.0
Disease,Friend,10,BPA Levels Tied to Obesity in Youths,"A study has found that the risk of obesity is higher among children with high urinary levels of the chemical, which is widely used in food packaging.",24,1.0,65.41181945800781,4.0,49.983551025390625,62.40318298339844,51.54953384399414,63.7104377746582,1.0,61.558982849121094,2.0
Fitness,Content,12,Risks: Coffee Linked to Fewer Oral Cancer Deaths,"A large study of 968,432 initially healthy men and women has found that drinking coffee is associated with a reduced risk of death from oral cancers.",45,1.0,84.97911834716797,1.0,66.5411605834961,81.97637939453125,68.12992858886719,84.81282043457031,1.0,80.1436538696289,3.0
Fitness,Content,10,Trans Fat Limits Show Benefits in New York,A study shows that the average amount of trans fat per purchase decreased over the two years before and after restrictions were put into place.,5,1.0,104.73088073730469,1.0,88.80748748779297,101.72237396240234,90.37445831298828,104.64883422851562,1.0,100.37952423095703,4.0
Age,Wall,12,Study Links Healthier Weight in Children With Strict Laws on School Snacks,"The study, conducted over three years in 40 states, is likely to stoke the debate over government efforts to reduce obesity rates.",13,1.0,123.38233184814453,3.0,105.7564926147461,120.37225341796875,107.3270263671875,122.31698608398438,1.0,119.33274841308594,5.0
Fitness,Read,10,Live as Long as an Olympian,"Olympic athletes live longer, on average, than most of us. But certain sports, two new studies suggest, may be better than others when it comes to extending lifespan.",46,1.0,141.63546752929688,5.0,124.99321746826172,138.62841796875,126.570068359375,139.635498046875,1.0,136.5836944580078,6.0
Fitness,Friend,12,No Vitamin D and Calcium for Older Bones,A government task force formally recommended on Monday that postmenopausal women avoid taking low daily doses of vitamin D and calcium to ward off bone fractures.,78,1.0,161.50344848632812,,144.1632537841797,158.48928833007812,145.73922729492188,,1.0,157.75277709960938,7.0
Fitness,Content,10,Dangers of Too Much Calcium,New research suggests that older women who take large calcium supplements may be at increased risk of heart disease and death.,74,1.0,179.1387481689453,1.0,163.43283081054688,176.13441467285156,165.00286865234375,177.65663146972656,1.0,175.0045928955078,8.0
Laws,Read,8,Fitness Isn't Seen to Prevent Sports Injury,"In a study, Canadian researchers found no correlation between overall fitness and the time until a first injury.",7,1.0,196.4905548095703,4.0,181.56869506835938,193.4816131591797,183.12890625,194.97491455078125,1.0,191.13973999023438,9.0
Cancer,Wall,8,Eggs Regain Reputation,A new analysis adds to the evidence that eggs are not the dietary sin doctors once thought they were.,64,1.0,211.24244689941406,3.0,198.01837158203125,208.23753356933594,199.585205078125,210.31008911132812,1.0,207.59170532226562,10.0
Well-being,Friend,10,How Testosterone May Alter the Brain After Exercise,New science on sex hormones and the brain sheds light on how jogging and other workouts may improve the ability to remember and think.,20,1.0,227.61074829101562,2.0,212.3713836669922,224.60357666015625,213.94961547851562,226.93417358398438,1.0,223.96409606933594,11.0
Fitness,Friend,12,Fitness Center in a Hotel Room,A businesswoman's need for a workout routine leads a personal trainer to incorporate a bathtub's edge and a travel iron into a 30-minute exercise regimen.,59,1.0,246.66390991210938,4.0,229.13876342773438,243.6556854248047,230.71131896972656,244.5473175048828,1.0,242.71310424804688,12.0
Cancer,Read,10,Updating the Message to Get Americans Moving,"If Americans know exercise is so good for them, why don't they take the message to heart? Maybe, some researchers say, the problem is the message.",40,1.0,264.9149169921875,3.0,249.19215393066406,261.91070556640625,250.76597595214844,263.3326416015625,1.0,260.78216552734375,13.0
Nutrition,Content,10,Children Like Spicy Red Cheetos; Schools Don't,Some schools are trying to ban a chip that is high in salt and fat and leaves a trail of bright red fingerprints.,32,1.0,284.0506591796875,5.0,267.0279235839844,281.03985595703125,268.6065368652344,282.5182189941406,1.0,278.6162414550781,14.0
Well-being,Wall,10,E-Health Opportunities for Seniors,Connecting more older Americans to the Internet is expected to improve opportunities to protect their well-being and reduce national costs for care.,29,1.0,304.2201232910156,4.0,287.57818603515625,301.20770263671875,289.15863037109375,302.82147216796875,1.0,299.1697082519531,15.0
Weight,Content,12,Transplant Centers Struggle With Donors' Obesity,Add one more unexpected consequence of Americans' expanding waistlines: A growing number of potential organ donors are ineligible to donate because of their weight.,10,1.0,323.4888916015625,5.0,305.2486267089844,320.4841003417969,306.83575439453125,322.073486328125,1.0,318.837646484375,16.0
Well-being,Wall,8,Exaggerating Your Race Results,"Why do athletes shave a few minutes off their times, or add a few pounds to the amount they can bench press?",21,1.0,339.1402587890625,3.0,325.8001403808594,336.12835693359375,327.3729248046875,337.3258972167969,1.0,335.38958740234375,17.0
Nutrition,Friend,8,How Much Milk Should Children Drink?,"Researchers have established that for most children, drinking two cups a day achieves the right balance for vitamin D and iron.",48,1.0,356.0932312011719,2.0,340.8645324707031,353.0805969238281,342.44952392578125,354.50921630859375,1.0,350.4579162597656,18.0
Fitness,Read,8,How to Carbo-Load for a Marathon,"There is one element that can still be tweaked in the days before a marathon, two new studies show: what to eat.",37,1.0,370.244384765625,5.0,357.1224365234375,367.2335510253906,358.6898193359375,368.5453186035156,1.0,366.6962585449219,19.0
Science,Read,12,"For Athletes, Risks From Ibuprofen Use",Many athletes take pre-emptive ibuprofen in hopes of preventing pain and soreness from exercise. New research shows the practice likely does more harm than good.,42,1.0,391.80218505859375,3.0,373.5570983886719,388.79071044921875,375.1419372558594,391.5638732910156,1.0,387.1455383300781,20.0
Nutrition,Wall,10,"Dismissing Her Critics, Mrs. Obama Forges Ahead",Michelle Obama said she kept her perspective on a life in the spotlight as she promoted a physical education initiative for children.,80,1.0,410.214599609375,4.0,394.3252868652344,407.2066955566406,395.9229431152344,408.2995910644531,1.0,405.9731750488281,21.0
Nutrition,Friend,12,Recipe for Resentment: Claims of Running Prowess,Why does running arouse such passion? You don't hear gleeful chortling about the health hazards to master swimmers or cross-country skiers or cyclists who do 100-mile "century" rides.,44,1.0,430.7673034667969,,413.62811279296875,427.7537841796875,415.2119445800781,,1.0,427.2162780761719,22.0
Disease,Content,12,Simple Only on the Surface,"Despite centuries' worth of efforts to penetrate the complicated thickets where health and beauty intertwine, there is always more to explore, as two new books make clear.",79,1.0,454.8041687011719,3.0,433.4803771972656,451.7989196777344,435.0520935058594,452.5409851074219,1.0,447.0689392089844,23.0
Age,Content,10,Training Insights From Star Athletes,"Along with natural athletic prowess, elite sports stars often have an edge, gained from an insight or realization, that helps them separate themselves from the pack.",56,1.0,471.07183837890625,2.0,455.9350891113281,468.06988525390625,457.50836181640625,469.9279479980469,1.0,467.5212707519531,24.0
Cancer ,Wall,12,Medical Costs May Remain High After Weight-Loss Surgery,A new study suggests that older men who undergo bariatric surgery to lose weight may not see any reductions in medical costs in the years that follow.,3,1.0,495.2078857421875,1.0,474.28302001953125,492.2042541503906,475.8693542480469,492.6754455566406,1.0,487.8736267089844,25.0
Nutrition,Read,12,Do the Brain Benefits of Exercise Last?,"Exercise bolsters the structure and function of the brain. But if someone stops exercising, does the brain revert to its former state, much like unused muscles slacken?",54,1.0,518.27734375,5.0,498.83544921875,515.2647094726562,500.422119140625,516.744873046875,1.0,512.4273071289062,26.0
Laws,Friend,10,"In Fight Against Obesity, Drink Sizes Matter",History has shown that teaching people what is good for them is not enough. It must be accompanied by restrictions that curb unhealthy habits.,35,1.0,537.2294311523438,3.0,521.1888427734375,534.21923828125,522.77734375,534.7304077148438,1.0,532.7788696289062,27.0
Well-being,Wall,10,Obese Children Less Sensitive to Taste,"A connection is not clear, but German researchers suggested that the hormone leptin might affect both body weight and taste buds.",27,1.0,555.09814453125,4.0,539.7571411132812,552.0899047851562,541.3339233398438,553.5665893554688,1.0,551.3474731445312,28.0
Science,Content,8,How Exercise Can Help You Master New Skills,"Physical exercise may help the brain to consolidate and store muscle memories, a new study found.",26,1.0,571.8504028320312,4.0,556.9254150390625,568.8427124023438,558.492919921875,569.6002807617188,1.0,566.4992065429688,29.0
Science,Friend,10,Treating Constipation in the Old,Scientists found that some laxatives had significant effects but that there was little or no evidence that enemas or increased fluid intake had any benefit.,71,1.0,588.0018920898438,1.0,572.87744140625,584.996337890625,574.449462890625,585.4519653320312,1.0,584.4512329101562,30.0
Age,Read,10,Diabetes Study Ends Early With a Surprising Result,Diet and weight loss did not prevent heart attacks and strokes in overweight and obese people with Type 2 diabetes.,33,1.0,604.8544921875,2.0,589.130126953125,601.8450317382812,590.7073364257812,602.9721069335938,1.0,600.7196655273438,31.0
Laws,Friend,8,Get Up. Get Out. Don't Sit.,Two new studies make a convincing case that sitting too much will shorten your life.,31,1.0,619.8555908203125,4.0,606.2813110351562,616.84228515625,607.8885498046875,617.6231079101562,1.0,615.90478515625,32.0
Disease,Wall,10,Why Four Workouts a Week May Be Better Than Six,"A fairly leisurely approach to scheduling workouts may actually be more beneficial than working out almost daily, a new study suggests.",73,1.0,639.2911987304688,5.0,624.065673828125,636.2777099609375,625.6371459960938,637.4093627929688,1.0,635.6405029296875,33.0
Well-being,Read,10,Iron Supplements Fight Fatigue in Women,"In a randomized controlled double-blinded study, iron supplementation reduced fatigue by almost 50 percent in women who are low in iron but not anemic.",1,1.0,656.5598754882812,5.0,640.7188110351562,653.555908203125,642.29248046875,654.810546875,1.0,652.3090209960938,34.0
Well-being,Content,10,The Appetite Workout,"Can exercise help regulate how much we eat? New science suggests that if you stick with the right kind of exercise, you may change how your body interacts with food.",58,1.0,673.0115966796875,,657.8751220703125,670.0101318359375,659.44873046875,,1.0,669.4609985351562,35.0
Age,Wall,12,"For Omega-3s, Fish May Beat Pills","Taking supplements of omega-3 fatty acids does not have the same effect of reducing the risk of stroke as eating fish high in omega-3s, a study shows.",38,1.0,694.180908203125,4.0,674.0391235351562,691.1688232421875,675.62646484375,691.5142211914062,1.0,687.6307373046875,36.0
Laws,Read,12,"In 'Obesity Paradox', Thinner May Mean Sicker",A slow but steady accumulation of evidence is inspiring some experts to re-examine assumptions about the role of body fat in certain chronic diseases.,23,1.0,712.4336547851562,5.0,695.3095092773438,709.4226684570312,696.8889770507812,711.6838989257812,1.0,708.898681640625,37.0
Cancer,Friend,10,Vitamin D Doesn't Reduce Knee Pain,"A two-year study found that vitamin D, which evidence suggested might slow osteoarthritis, neither reduced knee pain nor restored cartilage.",57,1.0,729.8013916015625,3.0,713.46142578125,726.7946166992188,715.0465698242188,728.0690307617188,1.0,725.0512084960938,38.0
Cancer,Content,8,How to Make Summer Your Training Partner,Athletes' performance actually may improve as a result of their struggles with soaring temperatures.,15,1.0,746.1365966796875,1.0,731.0308837890625,743.1273803710938,732.6002807617188,744.5701293945312,1.0,740.6024169921875,39.0
